"Method","Mode","Image","TP","TN","FP","FN","DICE","JACCARD","PRECISION","RECALL","ACCURACY","F1","SPECIFICITY","NPV","FDR","Overlap","Sigma","Organ","Dataset"
"HistoKit (no postprocessing)","constant","f881e0d1-5083-a9bf-24e9-defb3fc05474_163258_3.png",1017635,8132363,47737,83873,0.939262903344901,0.885481337747826,0.95519217700484,0.923856204403418,0.985820344922992,0.939262903344901,0.994164252270755,0.989791797606593,0.0448078229951604,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","471ad0ae-4155-cece-bd54-ae74bd634547_150346_2.png",3408537,6970573,13957,8581,0.996704783838615,0.993431213249492,0.995921979702521,0.997488819525694,0.997833227965415,0.996704783838615,0.99800172667309,0.998770481350605,0.00407802029747897,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","6edc5bc4-e291-c11b-6fc8-450de3279215_144119_4.png",4564766,757155,6617,14002,0.997746594564396,0.995503321967512,0.998552516820402,0.996941972163691,0.996140599789613,0.997746594564396,0.99133641976925,0.981842867276054,0.00144748317959795,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","0dc0a59e-eed8-a877-89ca-f550e6af1913_165712_5.png",1417164,4876721,7002,31263,0.986679282446208,0.973708782771265,0.995083438307051,0.978415895312639,0.993957028813278,0.986679282446208,0.998566257750491,0.993630174833496,0.00491656169294872,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","5b332dc9-3073-2df1-1a15-cd0113c0a149_073124_9.png",0,4496217,118855,0,0,0,0,NA,0.974246338952025,NA,0.974246338952025,1,1,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","bb87bd99-35a9-7681-1e96-e16035c6cb7c_142800_1.png",4013373,3892046,523711,404145,0.896382217769143,0.812221615310685,0.884571015215941,0.90851310622843,0.894959004446256,0.896382217769143,0.881399497300236,0.905929461702238,0.11542898478406,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","222ae6ec-aad2-d76b-96ce-832119c855bb_161654_3.png",0,5735541,11359,0,0,0,0,NA,0.998023456124171,NA,0.998023456124171,1,1,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","d453b2d1-a9e4-4e23-336a-b459202a3483_134957_3.png",9541465,4119649,487,74459,0.996087979690442,0.992206447914924,0.99994896222492,0.992256698368248,0.994543850274387,0.996087979690442,0.999881800018252,0.982246761409101,5.10377750799836e-05,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","cbce74a2-7428-f9d6-deea-88fb31a09ea9_143207_2.png",4508343,38719,20990,27364,0.994665881231633,0.989388366178396,0.995365763568278,0.993966982435153,0.989477775243852,0.994665881231633,0.648461705940478,0.585914683050104,0.00463423643172184,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","d5907b31-ce36-7334-168a-45b235153f97_142531_4.png",4737124,733677,1731,3150120,0.750370165797053,0.600473952573053,0.99963472188957,0.600605737568154,0.634468490668532,0.750370165797053,0.997646204555838,0.188907144219948,0.000365278110429629,0.75,NA,"Colon","GrandQC"
